source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PAisolates_050915_Ivacaftor_isolates_PT5_D0_labelfree_1	PAisolates_050915_Ivacaftor_isolates_PT5_D0_labelfree_1	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_050915_Ivacaftor_isolates_PT5_D0_labelfree_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_050915_Ivacaftor_isolates_PT5_D0_labelfree_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_050915_Ivacaftor_isolates_PT5_D210_labelfree_2	PAisolates_050915_Ivacaftor_isolates_PT5_D210_labelfree_2	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_050915_Ivacaftor_isolates_PT5_D210_labelfree_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_050915_Ivacaftor_isolates_PT5_D210_labelfree_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_05182015_Iva_96isolates_PT6_D210_labelfree_2_redo	PAisolates_05182015_Iva_96isolates_PT6_D210_labelfree_2_redo	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_05182015_Iva_96isolates_PT6_D210_labelfree_2_redo	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_05182015_Iva_96isolates_PT6_D210_labelfree_2_redo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_05182015_Iva_96isolates_PT6_D8_labelfree_2_redo	PAisolates_05182015_Iva_96isolates_PT6_D8_labelfree_2_redo	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_05182015_Iva_96isolates_PT6_D8_labelfree_2_redo	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_05182015_Iva_96isolates_PT6_D8_labelfree_2_redo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_05_20_2015_96isolates_PT9_D0_labelfree_3	PAisolates_05_20_2015_96isolates_PT9_D0_labelfree_3	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_05_20_2015_96isolates_PT9_D0_labelfree_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_05_20_2015_96isolates_PT9_D0_labelfree_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_10_18_2015_iva96isolates_PT7_9-28_D2_reposil_3	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D2_reposil_3	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D2_reposil_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D2_reposil_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_10_18_2015_iva96isolates_PT7_9-28_D7_reposil_1	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D7_reposil_1	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D7_reposil_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_10_18_2015_iva96isolates_PT7_9-28_D7_reposil_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_1	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_2	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_2	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D0_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D7_1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D7_1	Pseudomonas aeruginosa	Airway fluid	not applicable	Cystic fibrosis	In_vivo_proteome_of_Pseudomonas_aeruginosa_in_airways_of_cystic_fibrosis_patients	Airway fluid	Airway fluid	not available	not available	not available	not available	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D7_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	PAisolates_10_1_2015_Iva96isolates_PT10-9-28-digest_reposil_D7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Airway fluid
